quarter,deaths,pred,pats,smr,crd_rate,location_type,location,location_name,quarter_reg,reg
17,163,159.4638754,2948,1.022175082,5.52917232,hospital,T202H,Perth Royal Infirmary,5,0.894486058
17,0,1.290764554,1374,0,0,hospital,T312H,Stracathro Hospital,5,0.66926789
17,341,308.3115272,8486,1.106024167,4.018383219,hospital,V217H,Forth Valley Royal Hospital,5,0.974461297
17,28,22.73837958,1005,1.231398214,2.786069652,hospital,W107H,Western Isles Hospital,5,1.135126835
17,13,17.74067364,871,0.73277939,1.492537313,hospital,Z102H,Gilbert Bain Hospital,5,1.024812011
18,300,333.9697889,9343,0.898284845,3.210960077,hospital,A111H,University Hospital Crosshouse,6,0.858045386
18,214,243.1985017,6312,0.879939631,3.390367554,hospital,A210H,University Hospital Ayr,6,0.916974979
18,138,150.3611293,4455,0.917790393,3.097643098,hospital,B120H,Borders General Hospital,6,0.935988028
18,26,21.50355074,809,1.209102641,3.213844252,hospital,C121H,Lorn & Islands Hospital,6,1.075209642
18,149,140.6107284,4798,1.059663098,3.105460609,hospital,C313H,Inverclyde Royal Hospital,6,1.042900839
18,273,281.5377966,9668,0.969674421,2.823748448,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,6,1.052353787
18,22,26.87280118,4295,0.818671632,0.512223516,hospital,D102H,Golden Jubilee National Hospital,6,0.873527037
18,363,405.4279863,8238,0.895350129,4.406409323,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,6,0.902720285
18,365,422.057268,13347,0.86481155,2.734696936,hospital,G107H,Glasgow Royal Infirmary / Stobhill,6,0.935765284
18,359,388.007945,11321,0.925238786,3.17109796,hospital,G405H,Queen Elizabeth University Hospital / Gartnavel,6,0.895799646
18,40,32.9207623,840,1.215038693,4.761904762,hospital,H103H,Caithness General Hospital,6,0.95639344
18,180,219.6204679,7647,0.819595741,2.35386426,hospital,H202H,Raigmore Hospital,6,0.809683854
18,24,18.45373067,386,1.300550031,6.21761658,hospital,H212H,Belford Hospital,6,1.101670746
18,237,289.2596395,8488,0.81933311,2.792177191,hospital,L106H,University Hospital Monklands,6,0.896963038
18,201,259.1525604,6950,0.775604917,2.892086331,hospital,L302H,University Hospital Hairmyres,6,0.878762922
18,250,282.645562,9660,0.884500001,2.587991718,hospital,L308H,University Hospital Wishaw,6,0.968570169
18,411,462.4566913,15802,0.88873187,2.60093659,hospital,N101H,Aberdeen Royal Infirmary,6,0.903556981
18,93,75.38025691,3157,1.2337448,2.945834653,hospital,N411H,Dr Gray's Hospital,6,1.052778715
18,19,24.87664578,825,0.763768563,2.303030303,hospital,R101H,Balfour Hospital,6,1.102853556
18,217,319.0803768,7164,0.680079428,3.029034059,hospital,S116H,Western General Hospital,6,0.731957173
18,170,194.3078484,7498,0.874900326,2.267271272,hospital,S308H,St John's Hospital,6,0.823840418
18,359,441.820562,11704,0.812547063,3.067327409,hospital,S314H,Royal Infirmary of Edinburgh at Little France,6,0.855778541
18,369,426.7791815,11604,0.864615745,3.179937952,hospital,T101H,Ninewells Hospital,6,0.885829495
18,120,145.0513775,3053,0.827293074,3.930560105,hospital,T202H,Perth Royal Infirmary,6,0.894894979
18,2,1.982156211,1077,1.009002211,0.185701021,hospital,T312H,Stracathro Hospital,6,0.677483
18,304,309.8063101,8358,0.981258257,3.637233788,hospital,V217H,Forth Valley Royal Hospital,6,0.974695502
18,23,19.51221669,931,1.178748697,2.470461869,hospital,W107H,Western Isles Hospital,6,1.117064843
18,26,22.22197713,884,1.170012904,2.941176471,hospital,Z102H,Gilbert Bain Hospital,6,1.025124937
19,254,303.0302933,9336,0.838200027,2.720651243,hospital,A111H,University Hospital Crosshouse,7,0.849461817
19,179,228.180509,6606,0.784466652,2.709657887,hospital,A210H,University Hospital Ayr,7,0.908434186
19,138,145.2223015,4384,0.95026727,3.147810219,hospital,B120H,Borders General Hospital,7,0.936200132
19,21,19.71517862,780,1.065169147,2.692307692,hospital,C121H,Lorn & Islands Hospital,7,1.072166428
19,135,136.1857228,4529,0.99129334,2.980790461,hospital,C313H,Inverclyde Royal Hospital,7,1.029414914
19,275,274.8103111,9546,1.000690254,2.880787765,hospital,C418H,Royal Alexandra Hospital / Vale of Leven,7,1.04791187
19,24,29.82291974,4505,0.804750179,0.532741398,hospital,D102H,Golden Jubilee National Hospital,7,0.883307089
19,337,395.6886122,8306,0.851679805,4.05730797,hospital,F704H,Victoria Hospital / Queen Margaret Hospital / Forth Park Hospital,7,0.902176351
